Manager,Wins,Losses,Total Bench Points
Player2,10,4,872.26
Player9,10,4,780.92
Player10,9,5,788.18
Player6,8,6,757.14
Player5,8,6,742.52
Player12,6,8,712.04
Player3,6,8,709.42
Player1,6,8,623.04
Player4,6,8,565.44
Player7,5,9,598.18
Player8,5,9,588.44
Player11,5,9,517.8
