Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,102.94,108.2,-5.26,24.42,0.0,10,4,1769.4,1,0
Player12,109.72,106.5,3.22,10.9,8.1,10,4,1724.74,2,0
Player1,129.66,117.1,12.56,43.6,3.04,8,6,1686.46,3,1
Player11,130.22,122.3,7.92,63.8,6.3,8,6,1555.16,4,3
Player9,168.32,119.4,48.92,-7.0,0.0,7,7,1760.1,5,3
Player8,133.26,124.5,8.76,35.9,12.1,7,7,1722.02,6,-3
Player3,143.38,122.3,21.08,25.9,0.7,7,7,1630.84,7,2
Player10,127.56,118.3,9.26,28.5,8.3,7,7,1609.18,8,-2
Player7,93.4,116.9,-23.5,51.8,43.5,7,7,1580.0,9,-4
Player4,142.18,110.1,32.08,27.52,9.5,5,9,1601.24,10,1
Player5,139.8,113.9,25.9,41.12,4.6,5,9,1563.04,11,-1
Player2,134.04,110.6,23.44,62.46,18.9,3,11,1430.94,12,0
