Manager,Wins,Losses,Total Bench Points
Player9,9,3,701.46
Player2,8,4,762.74
Player6,8,4,700.02
Player10,8,4,693.22
Player5,7,5,653.76
Player4,6,6,506.94
Player12,5,7,632.64
Player3,5,7,621.92
Player1,5,7,510.5
Player8,4,8,528.54
Player7,4,8,505.32
Player11,3,9,382.7
