Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,157.36,111.0,46.36,66.98,28.82,9,3,1507.62,1,0
Player12,106.86,127.6,-20.74,44.1,7.8,8,4,1489.5,2,0
Player8,133.8,120.0,13.8,32.5,2.4,7,5,1469.96,3,0
Player1,103.66,111.9,-8.24,53.6,13.9,7,5,1429.56,4,0
Player9,121.2,113.0,8.2,52.58,21.58,6,6,1455.7,5,1
Player7,119.38,108.1,11.28,21.2,10.8,6,6,1374.52,6,2
Player10,98.56,107.5,-8.94,43.18,15.02,6,6,1351.36,7,-2
Player11,142.2,115.2,27.0,37.3,0.2,6,6,1290.5,8,2
Player3,86.12,81.6,4.52,50.8,29.38,5,7,1350.1,9,-2
Player5,94.16,122.4,-28.24,52.0,31.0,5,7,1311.74,10,-1
Player4,85.62,106.5,-20.88,14.2,10.9,4,8,1333.64,11,0
Player2,98.12,92.1,6.02,29.4,16.6,3,9,1198.1,12,0
