Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player1,108.34,110.3,-1.96,90.66,43.72,3,2,649.9,1,2
Player9,152.94,118.2,34.74,47.8,9.7,3,2,625.9,2,4
Player6,127.94,114.7,13.24,59.86,10.6,3,2,616.3,3,-2
Player10,118.28,115.6,2.68,70.8,11.1,3,2,598.78,4,1
Player7,133.92,121.0,12.92,49.06,5.2,3,2,578.94,5,2
Player4,135.24,109.4,25.84,22.1,0.0,3,2,571.52,6,3
Player12,116.56,108.5,8.06,11.8,3.9,3,2,570.76,7,-5
Player8,121.0,108.0,13.0,64.5,38.7,3,2,537.46,8,2
Player5,115.6,105.5,10.1,74.28,29.78,2,3,601.8,9,-5
Player3,94.46,110.4,-15.94,10.6,5.9,2,3,538.38,10,-2
Player11,95.42,117.4,-21.98,4.5,0.0,1,4,531.28,11,0
Player2,111.46,119.1,-7.64,111.16,64.9,1,4,511.32,12,0
