Manager,Wins,Losses,Total Bench Points
Player5,4,1,346.28
Player6,4,1,320.32
Player2,3,2,349.92
Player9,3,2,320.34
Player10,3,2,308.6
Player4,3,2,200.88
Player12,2,3,307.08
Player7,2,3,274.86
Player1,2,3,237.14
Player3,2,3,216.78
Player8,1,4,280.16
Player11,1,4,139.6
