Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,124.24,119.8,4.44,69.32,19.3,3,0,398.16,1,1
Player10,113.16,120.5,-7.34,72.8,24.8,2,1,376.66,2,1
Player12,138.54,115.9,22.64,77.86,19.12,2,1,357.98,3,4
Player3,66.88,128.4,-61.52,73.86,46.48,2,1,344.82,4,-3
Player4,120.54,116.8,3.74,33.44,12.9,2,1,338.18,5,4
Player1,111.88,116.1,-4.22,33.52,1.94,1,2,403.46,6,-2
Player5,140.76,121.4,19.36,51.32,10.5,1,2,352.92,7,3
Player11,105.76,119.2,-13.44,61.1,22.4,1,2,324.94,8,0
Player8,95.48,115.7,-20.22,71.4,26.0,1,2,315.1,9,-3
Player7,126.28,117.5,8.78,61.48,25.0,1,2,314.68,10,2
Player9,112.2,114.4,-2.2,61.88,17.3,1,2,311.16,11,0
Player2,85.0,112.9,-27.9,49.1,19.5,1,2,307.14,12,-7
