Manager,Wins,Losses,Total Bench Points
Player6,3,0,201.6
Player9,3,0,197.78
Player5,2,1,198.42
Player3,2,1,157.76
Player12,1,2,236.08
Player8,1,2,161.16
Player10,1,2,154.6
Player7,1,2,149.98
Player2,1,2,145.4
Player4,1,2,113.54
Player11,1,2,110.06
Player1,1,2,105.3
