Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,126.1,113.0,13.1,19.94,10.44,7,2,1135.2,1,0
Player12,112.5,124.1,-11.6,28.4,6.7,5,4,1118.52,2,0
Player1,119.98,108.2,11.78,69.64,40.86,5,4,1104.92,3,0
Player7,138.2,124.8,13.4,7.8,2.0,5,4,1076.76,4,2
Player8,120.54,118.7,1.84,45.5,14.7,5,4,1051.34,5,2
Player3,104.92,126.2,-21.28,79.4,35.98,5,4,1038.96,6,-2
Player11,121.16,133.5,-12.34,48.0,24.1,5,4,962.18,7,1
Player9,101.34,115.7,-14.36,35.2,24.7,4,5,1085.4,8,-3
Player5,123.44,113.8,9.64,34.9,5.2,4,5,1005.02,9,2
Player10,111.02,124.5,-13.48,87.12,23.6,4,5,1004.54,10,0
Player4,115.18,99.5,15.68,58.58,23.5,3,6,1017.74,11,-2
Player2,86.88,129.5,-42.62,80.42,44.2,2,7,905.82,12,0
