Manager,Wins,Losses,Total Bench Points
Player9,7,2,541.82
Player2,6,3,633.7
Player10,6,3,564.94
Player5,6,3,550.52
Player6,6,3,498.92
Player12,4,5,521.94
Player3,4,5,455.78
Player8,4,5,443.48
Player1,4,5,404.16
Player4,4,5,371.88
Player7,2,7,406.64
Player11,1,8,283.8
