Manager,Wins,Losses,Total Bench Points
Player5,1,0,102.08
Player9,1,0,76.2
Player6,1,0,63.38
Player7,1,0,57.14
Player1,1,0,50.72
Player11,1,0,22.46
Player12,0,1,89.74
Player10,0,1,54.5
Player3,0,1,52.5
Player8,0,1,45.48
Player4,0,1,33.96
Player2,0,1,17.7
