Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player10,141.16,119.4,21.76,54.5,21.80000000000001,1,0,141.16,1,-1
Player4,137.78,123.5,14.28,33.96,5.699999999999989,1,0,137.78,2,-2
Player3,137.08,122.3,14.78,52.5,33.89999999999998,1,0,137.08,3,-3
Player6,132.08,116.7,15.38,63.38,11.799999999999983,1,0,132.08,4,-4
Player12,116.92,110.4,6.52,89.74,24.42,1,0,116.92,5,-5
Player11,100.26,124.7,-24.44,22.46,0.0,1,0,100.26,6,-6
Player1,126.44,119.6,6.84,50.72,26.5,0,1,126.44,7,-7
Player9,112.26,117.8,-5.54,76.2,15.999999999999986,0,1,112.26,8,-8
Player5,111.66,119.6,-7.94,102.08,29.30000000000001,0,1,111.66,9,-9
Player2,99.3,120.6,-21.3,17.7,5.700000000000003,0,1,99.3,10,-10
Player8,80.58,121.7,-41.12,45.48,14.700000000000003,0,1,80.58,11,-11
Player7,77.92,116.0,-38.08,57.14,30.5,0,1,77.92,12,-12
