Manager,Wins,Losses,Total Bench Points
Player6,6,1,431.92
Player2,5,2,457.74
Player5,5,2,445.52
Player9,5,2,428.42
Player10,4,3,374.4
Player12,3,4,415.34
Player8,3,4,356.76
Player1,3,4,282.14
Player4,3,4,271.24
Player7,2,5,355.14
Player3,2,5,310.56
Player11,1,6,180.7
