Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,131.0,118.8,12.2,56.4,31.8,5,2,887.4,1,1
Player1,77.06,121.0,-43.94,28.5,5.6,4,3,862.3,2,-1
Player12,132.56,117.7,14.86,54.98,3.9,4,3,854.18,3,0
Player7,113.44,122.8,-9.36,33.58,6.6,4,3,822.3,4,1
Player8,144.7,115.1,29.6,32.9,20.4,4,3,806.72,5,3
Player3,140.76,118.5,22.26,52.38,15.3,4,3,792.14,6,3
Player9,108.44,115.3,-6.86,52.36,28.22,3,4,856.62,7,-3
Player4,125.02,113.9,11.12,41.16,12.3,3,4,793.54,8,-1
Player5,122.4,107.7,14.7,35.74,7.9,3,4,786.12,9,1
Player10,92.44,113.6,-21.16,22.4,2.8,3,4,769.04,10,-4
Player11,83.14,116.5,-33.36,23.6,7.9,3,4,703.28,11,1
Player2,100.28,122.6,-22.32,47.1,19.22,2,5,729.8,12,-1
