Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,121.7,103.8,17.9,47.06,6.8,6,2,1009.1,1,0
Player12,151.84,125.3,26.54,78.2,27.7,5,3,1006.02,2,1
Player1,122.64,118.2,4.44,52.38,23.04,5,3,984.94,3,-1
Player3,141.9,123.5,18.4,65.82,10.32,5,3,934.04,4,2
Player9,127.44,124.4,3.04,78.2,12.2,4,4,984.06,5,2
Player7,116.26,124.5,-8.24,43.7,5.54,4,4,938.56,6,-2
Player8,124.08,121.8,2.28,41.22,21.22,4,4,930.8,7,-2
Player11,137.74,132.7,5.04,55.1,24.8,4,4,841.02,8,3
Player4,109.02,102.0,7.02,42.06,13.44,3,5,902.56,9,-1
Player10,124.48,124.1,0.38,103.42,30.24,3,5,893.52,10,0
Player5,95.46,117.3,-21.84,70.1,24.44,3,5,881.58,11,-2
Player2,89.14,124.6,-35.46,95.54,39.4,2,6,818.94,12,0
