Manager,Wins,Losses,Total Bench Points
Player2,6,2,553.28
Player5,6,2,515.62
Player9,6,2,506.62
Player6,6,2,478.98
Player10,5,3,477.82
Player12,4,4,493.54
Player8,3,5,397.98
Player3,3,5,376.38
Player1,3,5,334.52
Player4,3,5,313.3
Player7,2,6,398.84
Player11,1,7,235.8
