Manager,Wins,Losses,Total Bench Points
Player9,10,3,787.92
Player2,9,4,809.8
Player10,9,4,759.68
Player6,8,5,732.72
Player5,7,6,701.4
Player12,6,7,701.14
Player3,6,7,683.52
Player4,6,7,537.92
Player1,5,8,579.44
Player8,4,9,552.54
Player7,4,9,546.38
Player11,4,9,454.0
