Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,158.84,118.3,40.54,32.7,8.26,10,3,1666.46,1,0
Player12,125.52,136.2,-10.68,68.5,29.6,9,4,1615.02,2,0
Player8,118.8,128.2,-9.4,24.0,0.0,7,6,1588.76,3,0
Player1,127.24,131.3,-4.06,68.94,25.7,7,6,1556.8,4,0
Player7,112.08,120.2,-8.12,41.06,8.8,7,6,1486.6,5,1
Player10,130.26,123.3,6.96,66.46,14.2,7,6,1481.62,6,1
Player11,134.44,122.9,11.54,71.3,30.8,7,6,1424.94,7,1
Player9,136.08,124.3,11.78,86.46,29.18,6,7,1591.78,8,-3
Player3,137.36,121.6,15.76,61.6,26.44,6,7,1487.46,9,0
Player5,111.5,125.2,-13.7,47.64,14.44,5,8,1423.24,10,0
Player4,125.42,120.6,4.82,30.98,2.8,4,9,1459.06,11,0
Player2,98.8,118.3,-19.5,47.06,20.86,3,10,1296.9,12,0
