Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,69.98,109.5,-39.52,59.6,29.2,7,3,1205.18,1,0
Player12,142.38,129.8,12.58,31.9,0.0,6,4,1260.9,2,0
Player8,126.94,107.5,19.44,24.46,6.6,6,4,1178.28,3,2
Player9,147.5,126.4,21.1,60.48,19.4,5,5,1232.9,4,4
Player1,123.84,117.5,6.34,22.9,0.3,5,5,1228.76,5,-2
Player7,95.1,122.8,-27.7,27.42,0.0,5,5,1171.86,6,-2
Player3,90.04,117.0,-26.96,24.0,14.76,5,5,1129.0,7,-1
Player10,116.72,116.7,0.02,29.4,4.7,5,5,1121.26,8,2
Player5,115.62,117.4,-1.78,10.74,0.0,5,5,1120.64,9,0
Player11,74.68,121.8,-47.12,41.1,18.1,5,5,1036.86,10,-3
Player4,101.5,112.3,-10.8,41.26,6.76,3,7,1119.24,11,0
Player2,99.34,126.7,-27.36,52.0,6.7,3,7,1005.16,12,0
