Manager,Wins,Losses,Total Bench Points
Player9,8,2,602.3
Player2,7,3,685.7
Player6,7,3,558.52
Player10,6,4,594.34
Player5,6,4,561.26
Player4,5,5,413.14
Player12,4,6,553.84
Player3,4,6,479.78
Player8,4,6,467.94
Player1,4,6,427.06
Player7,3,7,434.06
Player11,2,8,324.9
