Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,145.08,117.7,27.38,74.52,19.9,8,3,1350.26,1,0
Player12,121.74,130.3,-8.56,34.7,18.0,7,4,1382.64,2,0
Player8,157.88,112.7,45.18,28.1,0.0,7,4,1336.16,3,0
Player1,97.14,107.1,-9.96,29.84,9.6,6,5,1325.9,4,1
Player10,131.54,109.7,21.84,55.7,15.4,6,5,1252.8,5,3
Player9,101.6,125.9,-24.3,46.58,15.68,5,6,1334.5,6,-2
Player3,134.98,114.4,20.58,91.34,35.0,5,6,1263.98,7,0
Player7,83.28,122.6,-39.32,50.06,14.98,5,6,1255.14,8,-2
Player5,96.94,120.4,-23.46,40.5,21.6,5,6,1217.58,9,0
Player11,111.44,119.4,-7.96,20.5,4.0,5,6,1148.3,10,0
Player4,128.78,110.7,18.08,79.6,39.12,4,7,1248.02,11,0
Player2,94.82,114.4,-19.58,47.64,31.02,3,8,1099.98,12,0
