Manager,Wins,Losses,Total Bench Points
Player5,5,1,409.78
Player6,5,1,375.52
Player2,4,2,410.64
Player9,4,2,376.06
Player10,4,2,352.0
Player4,3,3,230.08
Player12,2,4,360.36
Player8,2,4,323.86
Player7,2,4,321.56
Player3,2,4,258.18
Player1,2,4,253.64
Player11,1,5,157.1
