Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player1,135.34,104.9,30.44,16.5,0.0,4,2,785.24,1,0
Player6,140.1,121.2,18.9,55.2,25.2,4,2,756.4,2,1
Player12,150.86,109.4,41.46,53.28,5.5,4,2,721.62,3,4
Player9,122.28,108.2,14.08,55.72,14.3,3,3,748.18,4,-2
Player7,129.92,113.4,16.52,46.7,15.58,3,3,708.86,5,0
Player10,77.82,111.0,-33.18,43.4,28.5,3,3,676.6,6,-2
Player4,97.0,96.5,0.5,29.2,6.8,3,3,668.52,7,-1
Player8,124.56,121.6,2.96,43.7,12.1,3,3,662.02,8,0
Player3,113.0,113.3,-0.3,41.4,28.7,3,3,651.38,9,1
Player5,61.92,107.7,-45.78,63.5,23.48,2,4,663.72,10,-1
Player2,118.2,124.7,-6.5,60.72,26.62,2,4,629.52,11,1
Player11,88.86,118.1,-29.24,17.5,16.6,2,4,620.14,12,-1
