Manager,Wins,Losses,Total Bench Points
Player9,3,1,272.54
Player5,3,1,272.0
Player6,3,1,260.46
Player12,2,2,295.28
Player2,2,2,238.76
Player10,2,2,237.8
Player7,2,2,225.8
Player3,2,2,206.18
Player4,2,2,178.78
Player8,1,3,215.66
Player1,1,3,146.48
Player11,1,3,135.1
