Manager,Wins,Losses,Total Bench Points
Player5,2,0,147.1
Player9,2,0,135.9
Player6,2,0,132.28
Player2,1,1,96.3
Player7,1,1,88.5
Player3,1,1,83.9
Player4,1,1,80.1
Player1,1,1,71.78
Player11,1,1,48.96
Player12,0,2,158.22
Player8,0,2,89.76
Player10,0,2,81.8
